location,mood,latitude,longitude
United States of America,Positive,42.7192043,-84.47791987346605
,Positive,,
,Positive,,
,Negative,,
,Positive,,
Malta,Positive,35.8885993,14.4476911
United States of America,Positive,41.4134764,-73.3086445
Japan,Positive,35.6828387,139.7594549
Japan,Negative,35.6777691,139.7646365
,Positive,,
,Positive,,
Japan,Negative,35.6777691,139.7646365
,Positive,,
Russia,Positive,55.5043158,38.0353929
Japan,Positive,35.6777691,139.7646365
,Positive,,
India,Positive,25.6093239,85.1235252
,Positive,,
Japan,Negative,34.7021912,135.4955866
Japan,Positive,35.737529,139.78131
Mexico,Negative,19.4326296,-99.1331785
,Negative,,
,Negative,,
Romania,Positive,45.9852129,24.6859225
China,Positive,31.6268604,116.8782856
Turkey,Positive,41.0222688,29.090073
Russia,Positive,55.5043158,38.0353929
India,Positive,22.3511148,78.6677428
United States of America,Negative,40.7127281,-74.0060152
United Kingdom,Positive,54.7023545,-3.2765753
United States,Positive,39.7837304,-100.4458825
United States of America,Positive,34.0536909,-118.2427666
,Positive,,
,Positive,,
,Positive,,
,Negative,,
Japan,Negative,35.6828387,139.7594549
,Positive,,
Tanzania,Positive,-6.8160837,39.2803583
,Positive,,
,Negative,,
United States of America,Positive,40.7596198,-111.8867975
China,Negative,30.6563688,104.07734
,Positive,,
,Negative,,
,Positive,,
United States of America,Negative,47.6038321,-122.3300624
,Positive,,
Japan,Positive,35.444991,139.636768
United States of America,Negative,35.2272,-80.843083
United States of America,Positive,40.7896239,-73.9598939
,Negative,,
,Positive,,
,Positive,,
South Africa,Negative,-28.8166236,24.991639
Mexico,Negative,19.4326296,-99.1331785
,Negative,,
,Positive,,
,Negative,,
,Negative,,
Venezuela,Positive,10.1828036,-68.003553
,Positive,,
United States of America,Positive,34.2331373,-102.4107493
,Negative,,
,Positive,,
,Positive,,
France,Positive,48.0577971,-1.5075593
United States of America,Positive,42.3602534,-71.0582912
,Negative,,
Philippines,Negative,14.3631741,121.0116215
Bangladesh,Negative,23.7593572,90.3788136
Australia,Positive,-33.77314455,150.99389093750625
Japan,Positive,43.061936,141.3542924
United States of America,Positive,34.2331373,-102.4107493
Iraq,Positive,33.0955793,44.1749775
,Positive,,
United States of America,Positive,47.6144219,-122.1923372
United States of America,Negative,40.7596198,-111.8867975
,Positive,,
New Zealand,Positive,-41.289636,174.7757724
France,Positive,48.8566969,2.3514616
,Negative,,
Ukraine,Negative,48.0158753,37.8013407
,Positive,,
,Positive,,
,Negative,,
,Negative,,
South Korea,Positive,36.3496,127.3848
,Positive,,
,Negative,,
Mexico,Positive,20.8169666,-98.17826806649418
,Negative,,
Botswana,Positive,-19.9860951,23.4224352
India,Negative,22.8015194,86.2029579
Japan,Positive,35.9754168,139.4160114
,Positive,,
,Positive,,
,Positive,,
United States of America,Positive,39.070388,-76.5452409
United States of America,Positive,47.6144219,-122.1923372
,Positive,,
Turkey,Positive,40.8762073,29.2270637
,Positive,,
,Positive,,
Japan,Positive,34.7021912,135.4955866
India,Positive,25.6093239,85.1235252
,Negative,,
Spain,Negative,37.2575874,-6.9484945
Germany,Negative,49.3038134,8.6433518
,Negative,,
United Kingdom,Negative,52.0429797,-0.7589607
,Negative,,
Mexico,Negative,20.8169666,-98.17826806649418
,Negative,,
,Positive,,
Bangladesh,Positive,23.7593572,90.3788136
United States of America,Positive,40.7127281,-74.0060152
Mexico,Negative,20.8169666,-98.17826806649418
,Positive,,
,Positive,,
India,Negative,22.3511148,78.6677428
Nigeria,Positive,6.4550575,3.3941795
,Positive,,
,Positive,,
Japan,Positive,37.75454,140.4592144
,Positive,,
,Positive,,
,Positive,,
,Negative,,
,Positive,,
United States of America,Positive,34.2331373,-102.4107493
,Positive,,
United States of America,Positive,47.6694141,-122.1238767
,Positive,,
India,Negative,22.3511148,78.6677428
,Positive,,
Mexico,Negative,20.8169666,-98.17826806649418
United States of America,Positive,45.709097,-68.8590201
,Positive,,
,Positive,,
United States of America,Negative,38.7251776,-105.6077167
Spain,Negative,37.183054,-3.6021928
Japan,Positive,35.6828387,139.7594549
Japan,Positive,35.6608988,139.7393731
Nigeria,Positive,9.6000359,7.9999721
,Positive,,
Canada,Negative,45.4972159,-73.6103642
,Positive,,
Germany,Positive,51.51751795,7.1439182017132445
United States of America,Positive,45.5202471,-122.6741949
South Africa,Positive,-33.928992,18.417396
Spain,Positive,36.4809284,-5.2404684
United States of America,Negative,27.7567667,-81.4639835
,Negative,,
Japan,Negative,34.7862025,135.4737093
,Negative,,
,Positive,,
Japan,Negative,35.6828387,139.7594549
,Positive,,
United States of America,Positive,37.7720287,-122.4022608
Spain,Positive,39.59315,2.6842221
,Positive,,
,Positive,,
,Positive,,
,Negative,,
,Negative,,
,Positive,,
United States of America,Positive,34.2331373,-102.4107493
Switzerland,Positive,46.7985624,8.2319736
,Positive,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
Russia,Negative,55.7575194,37.5867821
Zambia,Positive,-14.5186239,27.5599164
,Positive,,
India,Positive,22.3511148,78.6677428
,Positive,,
Japan,Positive,35.7073052,139.9592923
Japan,Negative,35.6828387,139.7594549
United States of America,Positive,40.0363473,-88.2690837
Japan,Positive,35.6828387,139.7594549
Canada,Positive,44.3669375,-80.7272504
The Netherlands,Negative,52.8903252,6.1401858
Japan,Positive,35.6828387,139.7594549
Venezuela,Positive,8.0018709,-66.1109318
Canada,Negative,45.4972159,-73.6103642
,Negative,,
Italy,Positive,42.6384261,12.674297
,Positive,,
United Kingdom,Negative,54.7023545,-3.2765753
United States of America,Positive,37.3361905,-121.8905833
Japan,Negative,35.62125,139.688014
,Positive,,
,Positive,,
China,Negative,34.024444,113.196667
United States of America,Positive,38.8949855,-77.0365708
,Positive,,
Spain,Positive,37.3399964,-4.5811614
,Positive,,
Germany,Positive,49.0068705,8.4034195
,Positive,,
Japan,Positive,35.1968074,136.86483523229543
,Positive,,
United Kingdom,Positive,51.456659,-0.9696512
Kenya,Negative,-1.2832533,36.8172449
,Negative,,
,Negative,,
Japan,Negative,35.6828387,139.7594549
,Negative,,
,Positive,,
United Kingdom,Positive,52.2034823,0.1235817
,Positive,,
Japan,Positive,37.75454,140.4592144
,Positive,,
United Kingdom,Positive,51.5073219,-0.1276474
Peru,Positive,-12.0621065,-77.0365256
,Positive,,
,Positive,,
France,Positive,48.8566969,2.3514616
,Negative,,
